company_name,intern_role,stipend,location_mode,skills_required,degrees_eligible
HCL,Digital Marketing Intern,30000,Karnataka,"AWS, Azure, Python, CAD, PyTorch","BE, BSc"
Infosys,Digital Marketing Intern,10000,Bihar,"Docker, TensorFlow, JavaScript, C++",BE
Microsoft,Web Development Intern,10000,Odisha,"NodeJS, Keras, Excel",BSc
Infosys,Machine Learning Intern,5000,West Bengal,"Docker, Azure, HTML/CSS","B.Tech, BSc, MBA"
Byjus,Machine Learning Intern,30000,Assam,"AWS, Java, Python, JavaScript","BSc, MBA"
Byjus,Embedded Systems Intern,10000,Andhra Pradesh,"Tableau, Power BI, CAD, Kubernetes, Keras",BE
Capgemini,Digital Marketing Intern,30000,Assam,"HTML/CSS, AWS, Excel, Keras",B.Tech
Capgemini,Digital Marketing Intern,30000,Chandigarh,"PyTorch, HTML/CSS, Docker, Tableau, Python","MBA, B.Tech, BSc"
Tech Mahindra,Cybersecurity Intern,30000,Punjab,"TensorFlow, Python, Power BI, Azure, Docker","MBA, BSc, BE"
Byjus,Business Analyst Intern,15000,Assam,"Azure, CAD","MSc, B.Tech, BE"
Accenture,Cybersecurity Intern,15000,Gujarat,"ReactJS, TensorFlow, HTML/CSS, Keras",MSc
Byjus,Machine Learning Intern,15000,Rajasthan,"Azure, NodeJS, Docker, SQL, PyTorch",BE
Tech Mahindra,Data Science Intern,30000,West Bengal,"Tableau, Docker, Keras","BSc, BE, B.Tech"
Google,Web Development Intern,5000,Kerala,"Excel, Kubernetes, NodeJS, Power BI, JavaScript",BE
Accenture,UI/UX Design Intern,30000,Assam,"NodeJS, Kubernetes, MATLAB, HTML/CSS, Azure","BE, MSc, MBA"
TCS,Machine Learning Intern,30000,Rajasthan,"ReactJS, C++","BE, B.Tech, MBA"
IBM,Cloud Engineering Intern,25000,Madhya Pradesh,"TensorFlow, SolidWorks, Keras, Kubernetes, SQL","MSc, B.Tech, BSc"
Amazon,Web Development Intern,20000,Odisha,"Power BI, TensorFlow, Kubernetes, Docker, CAD","MBA, BSc, MSc"
Amazon,Machine Learning Intern,10000,Bihar,"Tableau, JavaScript","MBA, BE"
Infosys,Robotics Intern,15000,Punjab,"HTML/CSS, TensorFlow, Tableau, Python, Excel","BSc, B.Tech"
Capgemini,Cybersecurity Intern,15000,Gujarat,"Kubernetes, Keras, Power BI, Python","BSc, MSc"
Amazon,UI/UX Design Intern,20000,Uttar Pradesh,"HTML/CSS, Linux, TensorFlow, ReactJS, PyTorch","B.Tech, MSc, MBA"
Amazon,UI/UX Design Intern,30000,Gujarat,"Kubernetes, Docker, Tableau, C++","BE, MSc"
Infosys,Business Analyst Intern,30000,Punjab,"ReactJS, Excel, NodeJS, AWS, HTML/CSS","BE, BSc, MBA"
Microsoft,Mobile App Development Intern,20000,Kerala,"AWS, Tableau",BSc
Byjus,Robotics Intern,20000,Delhi,"ReactJS, Azure, SolidWorks",MBA
Microsoft,Data Science Intern,5000,Telangana,"JavaScript, Keras, Python","MBA, BE"
TCS,Mobile App Development Intern,20000,West Bengal,"JavaScript, Azure","BSc, MBA, B.Tech"
Microsoft,Embedded Systems Intern,30000,Gujarat,"NodeJS, SolidWorks, Kubernetes, ReactJS, Keras","BE, BSc, MBA"
HCL,Digital Marketing Intern,15000,Telangana,"C++, NodeJS, Excel, MATLAB, JavaScript","BE, BSc"
HCL,Cloud Engineering Intern,10000,Rajasthan,"Azure, Python, HTML/CSS, Tableau, TensorFlow",MSc
Byjus,Robotics Intern,25000,Karnataka,"Python, PyTorch",B.Tech
Flipkart,Cloud Engineering Intern,15000,Karnataka,"Docker, Excel, Keras, Power BI, Kubernetes","MSc, BSc"
Cognizant,Cloud Engineering Intern,20000,Karnataka,"NodeJS, CAD, PyTorch, Excel",BE
Accenture,UI/UX Design Intern,20000,Uttar Pradesh,"Java, MATLAB, JavaScript, Tableau, PyTorch","BSc, MSc, B.Tech"
Flipkart,Mobile App Development Intern,15000,Uttar Pradesh,"NodeJS, Java, SQL, ReactJS",MBA
IBM,Mobile App Development Intern,30000,West Bengal,"Docker, Keras",MSc
Accenture,Data Science Intern,25000,Uttar Pradesh,"C++, Python",BE
IBM,Robotics Intern,25000,Andhra Pradesh,"Power BI, JavaScript, HTML/CSS","BE, MBA, BSc"
Infosys,Embedded Systems Intern,30000,Tamil Nadu,"PyTorch, MATLAB, Tableau","BSc, BE"
Google,Embedded Systems Intern,10000,Andhra Pradesh,"NodeJS, CAD, Tableau, Linux, Azure","BE, MSc, BSc"
Flipkart,Cybersecurity Intern,25000,Rajasthan,"Excel, ReactJS","BSc, MSc"
Google,Robotics Intern,15000,Bihar,"Java, HTML/CSS, Linux","MBA, B.Tech, BSc"
Google,Mobile App Development Intern,20000,Karnataka,"SQL, CAD, ReactJS",MBA
Microsoft,Robotics Intern,20000,Tamil Nadu,"TensorFlow, C++, Linux","B.Tech, BE"
Byjus,Embedded Systems Intern,10000,Bihar,"TensorFlow, NodeJS, Keras, Python","MSc, BE, B.Tech"
TCS,Robotics Intern,25000,Bihar,"NodeJS, JavaScript, Linux, MATLAB",MSc
Tech Mahindra,Web Development Intern,15000,Chandigarh,"Python, Azure",BSc
Tech Mahindra,Web Development Intern,15000,Punjab,"Docker, JavaScript","BE, BSc"
Accenture,Machine Learning Intern,25000,Maharashtra,"Azure, C++, Python, CAD","BE, MSc"
IBM,Robotics Intern,15000,West Bengal,"C++, Excel","MBA, MSc"
Tech Mahindra,UI/UX Design Intern,5000,West Bengal,"TensorFlow, NodeJS","B.Tech, MBA"
Infosys,Machine Learning Intern,20000,Kerala,"Tableau, CAD, ReactJS, Java","BE, BSc, B.Tech"
IBM,Cybersecurity Intern,20000,Tamil Nadu,"C++, MATLAB, SQL, AWS",MSc
Accenture,Web Development Intern,15000,Madhya Pradesh,"TensorFlow, PyTorch, Java, Python, Keras","MBA, BSc, BE"
HCL,Digital Marketing Intern,5000,Madhya Pradesh,"Tableau, Keras, Excel","BSc, BE, B.Tech"
Wipro,Data Science Intern,15000,Andhra Pradesh,"HTML/CSS, NodeJS","MBA, MSc, BSc"
TCS,UI/UX Design Intern,25000,Uttar Pradesh,"C++, Excel, Tableau, TensorFlow, PyTorch","MSc, MBA, BE"
Infosys,Cybersecurity Intern,10000,Karnataka,"Python, Excel, Keras, Kubernetes","MBA, B.Tech"
IBM,UI/UX Design Intern,25000,Madhya Pradesh,"MATLAB, Azure","MSc, MBA"
Amazon,Digital Marketing Intern,5000,Andhra Pradesh,"AWS, Linux, Docker","MSc, B.Tech, BE"
IBM,Digital Marketing Intern,25000,Uttar Pradesh,"PyTorch, Kubernetes","B.Tech, BSc"
Cognizant,Business Analyst Intern,10000,Gujarat,"HTML/CSS, Keras, NodeJS, C++","MBA, MSc"
Tech Mahindra,Embedded Systems Intern,15000,Telangana,"NodeJS, SQL, Keras, Excel, Python","BSc, BE"
HCL,UI/UX Design Intern,10000,Karnataka,"Python, TensorFlow, SQL, HTML/CSS","B.Tech, BE"
Tech Mahindra,Cloud Engineering Intern,25000,Tamil Nadu,"Tableau, Kubernetes, CAD","MBA, BE, B.Tech"
Flipkart,Machine Learning Intern,20000,Tamil Nadu,"NodeJS, CAD, Python, MATLAB, PyTorch","BSc, B.Tech"
Google,Robotics Intern,25000,Maharashtra,"NodeJS, SolidWorks, SQL, JavaScript",BSc
Google,Web Development Intern,25000,Madhya Pradesh,"AWS, Azure, SQL, PyTorch","MSc, B.Tech, BSc"
Cognizant,Data Science Intern,10000,Delhi,"Kubernetes, Tableau, JavaScript, ReactJS, Excel","BSc, BE, MSc"
Flipkart,Cloud Engineering Intern,25000,Telangana,"Kubernetes, Power BI, ReactJS",MBA
Byjus,UI/UX Design Intern,5000,Odisha,"C++, SQL, Docker, Power BI","BE, MBA, B.Tech"
Cognizant,Embedded Systems Intern,25000,Telangana,"ReactJS, Kubernetes, SQL, TensorFlow",MBA
Capgemini,Data Science Intern,25000,Rajasthan,"CAD, HTML/CSS, ReactJS, TensorFlow, MATLAB","MSc, MBA"
Cognizant,Web Development Intern,10000,West Bengal,"NodeJS, SQL","BSc, BE"
Infosys,Embedded Systems Intern,10000,Tamil Nadu,"Java, AWS","BE, MSc"
Infosys,Digital Marketing Intern,15000,Uttar Pradesh,"Keras, TensorFlow, SQL, C++, PyTorch","BE, B.Tech"
Capgemini,Digital Marketing Intern,5000,Madhya Pradesh,"Excel, C++, HTML/CSS",B.Tech
Wipro,Digital Marketing Intern,15000,Assam,"HTML/CSS, CAD, JavaScript, Keras, C++","MBA, B.Tech"
Tech Mahindra,UI/UX Design Intern,30000,Maharashtra,"Java, TensorFlow, Keras, Docker",BSc
Google,Cloud Engineering Intern,5000,Uttar Pradesh,"C++, CAD, Keras, Java",BE
IBM,Business Analyst Intern,25000,Delhi,"Python, ReactJS, NodeJS, Java","MBA, B.Tech, MSc"
Flipkart,Data Science Intern,5000,Uttar Pradesh,"Tableau, Azure","B.Tech, MSc, BSc"
Flipkart,Robotics Intern,5000,Gujarat,"ReactJS, C++, SolidWorks","B.Tech, MBA, BE"
Infosys,Machine Learning Intern,10000,Tamil Nadu,"Keras, Java, TensorFlow, SQL, Power BI","BE, MBA"
Capgemini,Cybersecurity Intern,10000,Maharashtra,"Power BI, SQL, Kubernetes, AWS, Excel","MBA, BE"
Accenture,Business Analyst Intern,15000,Maharashtra,"TensorFlow, Linux, CAD",MBA
HCL,UI/UX Design Intern,5000,Punjab,"Docker, Power BI",BSc
Wipro,Machine Learning Intern,10000,Assam,"AWS, Excel",MSc
Tech Mahindra,Cloud Engineering Intern,30000,Assam,"NodeJS, Power BI, Java, Excel, Keras",MSc
Infosys,Embedded Systems Intern,5000,Odisha,"Kubernetes, Java, CAD, Azure, PyTorch",MSc
Cognizant,Business Analyst Intern,15000,Chandigarh,"Power BI, MATLAB, AWS, NodeJS","BSc, MSc, B.Tech"
Infosys,Embedded Systems Intern,30000,Assam,"JavaScript, Python, Linux",BSc
Infosys,UI/UX Design Intern,30000,Remote,"Java, NodeJS, PyTorch, JavaScript","MBA, MSc, BE"
Cognizant,Cloud Engineering Intern,15000,Andhra Pradesh,"Keras, CAD","B.Tech, BSc"
Google,Web Development Intern,5000,Odisha,"Power BI, CAD, TensorFlow, Python, Excel","MSc, BSc"
Byjus,UI/UX Design Intern,15000,Kerala,"SolidWorks, HTML/CSS, C++",MSc
Accenture,Web Development Intern,5000,Telangana,"PyTorch, NodeJS, ReactJS, SolidWorks, C++","MBA, B.Tech, BSc"
IBM,Machine Learning Intern,25000,Delhi,"MATLAB, Docker, SolidWorks",BE
Cognizant,Business Analyst Intern,30000,Madhya Pradesh,"SolidWorks, TensorFlow, Python","MSc, BSc"
IBM,Mobile App Development Intern,10000,Punjab,"PyTorch, CAD, Excel","B.Tech, BE"
IBM,UI/UX Design Intern,25000,Chandigarh,"HTML/CSS, C++, Power BI, Python, Keras",BSc
Flipkart,UI/UX Design Intern,5000,Delhi,"ReactJS, SolidWorks","MBA, MSc"
Wipro,Machine Learning Intern,25000,Telangana,"Tableau, PyTorch, SolidWorks, C++, AWS","MBA, MSc, BE"
Infosys,Cloud Engineering Intern,10000,Andhra Pradesh,"Excel, Tableau, Power BI","BSc, MBA, MSc"
Amazon,Data Science Intern,25000,Madhya Pradesh,"Kubernetes, JavaScript, Excel","MSc, MBA, B.Tech"
Amazon,Robotics Intern,15000,Andhra Pradesh,"Tableau, ReactJS, Power BI, TensorFlow",BE
Wipro,Digital Marketing Intern,30000,Tamil Nadu,"Tableau, Python, Linux, Azure, NodeJS","BSc, MBA, MSc"
Wipro,Robotics Intern,10000,Punjab,"SQL, Keras","BSc, BE"
TCS,Web Development Intern,30000,Assam,"Kubernetes, ReactJS, TensorFlow",BSc
Microsoft,Robotics Intern,25000,Punjab,"SolidWorks, HTML/CSS, ReactJS","MSc, BE"
Infosys,Business Analyst Intern,30000,Gujarat,"Power BI, Docker, AWS, Kubernetes",MBA
Amazon,UI/UX Design Intern,25000,Assam,"Azure, Java, TensorFlow, Excel, Docker",BE
HCL,Machine Learning Intern,30000,Kerala,"Tableau, Python",MBA
Capgemini,Business Analyst Intern,20000,Tamil Nadu,"C++, Kubernetes, Tableau, Keras","BSc, B.Tech"
Wipro,Mobile App Development Intern,20000,Telangana,"Java, Keras, NodeJS",MSc
Accenture,UI/UX Design Intern,10000,Kerala,"Power BI, JavaScript, PyTorch","MSc, B.Tech, BE"
Infosys,Machine Learning Intern,30000,Tamil Nadu,"SQL, CAD, MATLAB, Power BI, HTML/CSS","B.Tech, MSc"
Tech Mahindra,Cloud Engineering Intern,20000,Chandigarh,"MATLAB, ReactJS, JavaScript, SolidWorks, AWS","MBA, BE"
Flipkart,Business Analyst Intern,10000,Tamil Nadu,"ReactJS, Java, Azure, Tableau","MSc, B.Tech, BSc"
Accenture,Machine Learning Intern,20000,Punjab,"ReactJS, Linux, SolidWorks","MSc, B.Tech, BE"
Cognizant,Digital Marketing Intern,5000,Bihar,"Kubernetes, MATLAB, Java","MSc, MBA"
HCL,Machine Learning Intern,10000,Kerala,"Kubernetes, Azure, CAD, SolidWorks",MSc
Accenture,Embedded Systems Intern,10000,Telangana,"NodeJS, Azure, TensorFlow","BSc, B.Tech"
Flipkart,Machine Learning Intern,30000,Assam,"ReactJS, Docker","B.Tech, BSc"
HCL,Cybersecurity Intern,30000,Uttar Pradesh,"Azure, TensorFlow","BSc, MBA, BE"
IBM,Data Science Intern,20000,Kerala,"Linux, JavaScript, CAD, HTML/CSS, MATLAB","BE, MBA, BSc"
Capgemini,Robotics Intern,30000,Tamil Nadu,"Docker, CAD, MATLAB","BE, MSc, B.Tech"
Accenture,Embedded Systems Intern,20000,Gujarat,"Java, Tableau, Kubernetes","BSc, B.Tech, MSc"
Flipkart,Business Analyst Intern,25000,Remote,"C++, PyTorch",MBA
Flipkart,Data Science Intern,25000,Assam,"SolidWorks, Linux","BE, B.Tech, MSc"
Flipkart,Robotics Intern,15000,Karnataka,"PyTorch, Linux, Azure, Java",BE
Infosys,Data Science Intern,25000,Punjab,"HTML/CSS, Kubernetes, ReactJS, Linux, MATLAB","B.Tech, MBA, BE"
HCL,Mobile App Development Intern,5000,Maharashtra,"Excel, Kubernetes, Docker, Linux, MATLAB",BE
Tech Mahindra,Data Science Intern,15000,Punjab,"Docker, C++, Linux, CAD, TensorFlow","BSc, B.Tech, BE"
TCS,UI/UX Design Intern,15000,Rajasthan,"CAD, TensorFlow, Excel, Linux, NodeJS","MSc, BE"
Accenture,Machine Learning Intern,15000,Odisha,"Azure, CAD, Linux, ReactJS",MBA
Accenture,Business Analyst Intern,10000,West Bengal,"AWS, MATLAB, Python","BSc, B.Tech, BE"
Infosys,Data Science Intern,30000,Telangana,"Docker, SolidWorks, C++, MATLAB","BE, MBA, B.Tech"
Amazon,Embedded Systems Intern,15000,Rajasthan,"NodeJS, Python","MBA, MSc, B.Tech"
Amazon,Mobile App Development Intern,25000,Tamil Nadu,"CAD, Keras, NodeJS","MBA, MSc"
Wipro,UI/UX Design Intern,25000,Telangana,"AWS, Azure, PyTorch","BE, MSc"
Byjus,Data Science Intern,15000,Odisha,"SolidWorks, Python, JavaScript","MSc, BSc, BE"
Amazon,Business Analyst Intern,5000,Madhya Pradesh,"CAD, Keras","MBA, BE"
HCL,Digital Marketing Intern,15000,Delhi,"SolidWorks, Tableau, TensorFlow, Kubernetes","MBA, B.Tech"
Accenture,Data Science Intern,25000,Andhra Pradesh,"MATLAB, Keras","MSc, BE, BSc"
Cognizant,Web Development Intern,20000,Bihar,"SolidWorks, Excel, Power BI","B.Tech, BE, MSc"
Capgemini,Machine Learning Intern,30000,Chandigarh,"MATLAB, SQL",BSc
Flipkart,Embedded Systems Intern,10000,Chandigarh,"Kubernetes, ReactJS","BE, B.Tech, BSc"
HCL,Data Science Intern,15000,Remote,"Kubernetes, Keras, ReactJS, CAD","MBA, MSc, BSc"
Accenture,Cybersecurity Intern,15000,Bihar,"Power BI, Tableau, MATLAB, AWS","MSc, BE"
IBM,Digital Marketing Intern,25000,Remote,"TensorFlow, SQL, AWS, Tableau, Kubernetes","BE, MSc, BSc"
Microsoft,Cloud Engineering Intern,10000,Bihar,"Excel, Linux",MSc
TCS,Web Development Intern,25000,West Bengal,"Power BI, Docker, HTML/CSS, JavaScript, C++","BE, B.Tech, MSc"
Wipro,Digital Marketing Intern,30000,Karnataka,"AWS, Linux","BE, B.Tech"
Cognizant,Data Science Intern,25000,Kerala,"Keras, Linux, NodeJS","B.Tech, BE"
Tech Mahindra,Web Development Intern,25000,Assam,"Kubernetes, AWS","B.Tech, BE"
Accenture,UI/UX Design Intern,10000,Telangana,"Java, Azure, Excel","MSc, BE"
Accenture,Data Science Intern,5000,Bihar,"Kubernetes, NodeJS, Linux, JavaScript, Python",MBA
Byjus,Mobile App Development Intern,30000,Kerala,"ReactJS, C++, MATLAB, PyTorch, Excel","BSc, MBA, MSc"
Infosys,UI/UX Design Intern,5000,Delhi,"CAD, JavaScript, Linux, HTML/CSS","MSc, B.Tech"
Accenture,Data Science Intern,20000,Assam,"Keras, Tableau, ReactJS, SQL, Power BI","BE, B.Tech, MBA"
HCL,Machine Learning Intern,25000,Maharashtra,"TensorFlow, PyTorch, Excel","B.Tech, MBA"
Byjus,Data Science Intern,5000,Gujarat,"CAD, C++, Tableau, MATLAB, Power BI","BE, B.Tech"
HCL,Digital Marketing Intern,30000,Remote,"Power BI, Excel, Python, MATLAB","BSc, MSc"
Amazon,UI/UX Design Intern,10000,Remote,"Docker, Excel, TensorFlow, Azure","BE, B.Tech"
Infosys,Robotics Intern,5000,Assam,"CAD, PyTorch, ReactJS, Power BI, C++","MSc, BE"
Tech Mahindra,Web Development Intern,15000,Bihar,"Docker, HTML/CSS, Excel, TensorFlow, Linux","MBA, MSc"
Byjus,Mobile App Development Intern,25000,Karnataka,"Python, Linux","BE, BSc"
Capgemini,Machine Learning Intern,15000,Remote,"Keras, Java",B.Tech
Flipkart,Embedded Systems Intern,10000,Karnataka,"Excel, Keras, TensorFlow, C++, Linux","BE, MSc, BSc"
Byjus,UI/UX Design Intern,15000,Kerala,"MATLAB, Python, Power BI, Linux, NodeJS","B.Tech, MBA, MSc"
IBM,Robotics Intern,20000,Tamil Nadu,"CAD, Docker","MBA, MSc, BE"
TCS,Web Development Intern,25000,Odisha,"JavaScript, Java",MBA
Tech Mahindra,Robotics Intern,30000,Maharashtra,"PyTorch, SolidWorks, Python, Tableau, HTML/CSS","BE, MBA, MSc"
Tech Mahindra,Embedded Systems Intern,5000,Odisha,"Excel, NodeJS, MATLAB","B.Tech, MBA"
Infosys,Cybersecurity Intern,15000,Remote,"Java, MATLAB","MSc, BSc, BE"
TCS,Mobile App Development Intern,15000,Remote,"SQL, ReactJS, Keras, CAD, C++","MBA, B.Tech, BE"
Byjus,Business Analyst Intern,20000,Chandigarh,"Java, AWS, Tableau, Power BI, CAD","B.Tech, MBA, MSc"
IBM,Embedded Systems Intern,15000,Karnataka,"JavaScript, CAD",BSc
Microsoft,Machine Learning Intern,20000,Assam,"Azure, PyTorch, Python, Tableau, AWS","B.Tech, MBA"
Google,Robotics Intern,10000,Assam,"MATLAB, Linux, SolidWorks","BE, MSc"
Wipro,Machine Learning Intern,10000,Chandigarh,"Docker, Tableau","B.Tech, MSc, MBA"
HCL,Business Analyst Intern,10000,Odisha,"Azure, TensorFlow, PyTorch, MATLAB, SQL",BSc
IBM,Business Analyst Intern,10000,Maharashtra,"Linux, HTML/CSS, Java, ReactJS, Tableau","MBA, BSc, B.Tech"
Accenture,Embedded Systems Intern,25000,Delhi,"SolidWorks, Python","MSc, MBA, B.Tech"
IBM,Cloud Engineering Intern,25000,Rajasthan,"JavaScript, Keras, Excel",BSc
Tech Mahindra,Web Development Intern,5000,Punjab,"TensorFlow, SQL","BSc, MSc, BE"
Amazon,UI/UX Design Intern,20000,Karnataka,"Tableau, NodeJS, Python",BSc
Wipro,Machine Learning Intern,30000,Madhya Pradesh,"MATLAB, HTML/CSS, SQL, Kubernetes","MBA, BE"
Cognizant,UI/UX Design Intern,15000,Bihar,"SolidWorks, AWS, JavaScript, Python, Excel",BE
Cognizant,Machine Learning Intern,20000,West Bengal,"MATLAB, Keras, Java, Kubernetes","B.Tech, MBA, MSc"
Amazon,Cybersecurity Intern,10000,Odisha,"Tableau, Docker, SolidWorks, AWS, NodeJS","BE, BSc, MBA"
Flipkart,UI/UX Design Intern,10000,Tamil Nadu,"Java, NodeJS, C++, Excel","MSc, MBA"
TCS,Business Analyst Intern,30000,Rajasthan,"CAD, SQL, JavaScript, Docker",MSc
HCL,Mobile App Development Intern,15000,Uttar Pradesh,"Keras, ReactJS",BE
Byjus,Machine Learning Intern,15000,Madhya Pradesh,"HTML/CSS, NodeJS, SQL","MSc, BSc, MBA"
Capgemini,Cloud Engineering Intern,15000,Rajasthan,"HTML/CSS, TensorFlow, SQL, PyTorch","MSc, BE"
Capgemini,Embedded Systems Intern,20000,Remote,"ReactJS, SQL","MSc, MBA"
Cognizant,Mobile App Development Intern,5000,Kerala,"ReactJS, TensorFlow","MBA, B.Tech, BE"
IBM,UI/UX Design Intern,15000,Remote,"ReactJS, Kubernetes, Docker, Python, Excel",BE
Tech Mahindra,Digital Marketing Intern,5000,Madhya Pradesh,"TensorFlow, Keras, Java",BSc
Wipro,Web Development Intern,25000,Karnataka,"NodeJS, SolidWorks","MBA, MSc"
Capgemini,Cybersecurity Intern,30000,Assam,"TensorFlow, Power BI, JavaScript, MATLAB","B.Tech, MSc, BE"
Wipro,Robotics Intern,5000,Maharashtra,"Java, Python, Kubernetes","MBA, B.Tech"
Google,Web Development Intern,25000,Uttar Pradesh,"AWS, Keras","BE, BSc, MSc"
Amazon,Embedded Systems Intern,20000,Uttar Pradesh,"C++, NodeJS, SQL, TensorFlow","MSc, BSc, MBA"
Byjus,Robotics Intern,25000,Maharashtra,"MATLAB, Python, Docker","BSc, B.Tech, MSc"
Tech Mahindra,Business Analyst Intern,15000,Punjab,"Tableau, MATLAB, HTML/CSS","BSc, MBA, BE"
Infosys,Data Science Intern,20000,Bihar,"Excel, Keras, TensorFlow, Power BI",MBA
Infosys,UI/UX Design Intern,25000,Rajasthan,"Tableau, NodeJS, Java","BSc, MSc"
Infosys,Embedded Systems Intern,30000,West Bengal,"Keras, CAD, Python","BSc, MBA"
Capgemini,Robotics Intern,20000,Chandigarh,"Excel, SolidWorks, CAD, Docker, SQL","BE, BSc"
Capgemini,Business Analyst Intern,30000,Delhi,"Java, AWS","BSc, B.Tech, MSc"
Microsoft,Business Analyst Intern,15000,Uttar Pradesh,"AWS, Linux",MSc
Google,Business Analyst Intern,10000,Karnataka,"SolidWorks, TensorFlow, PyTorch, Keras, Kubernetes","B.Tech, BSc"
Google,Digital Marketing Intern,25000,Telangana,"Excel, C++, Power BI","B.Tech, BE, MBA"
Wipro,UI/UX Design Intern,10000,Assam,"HTML/CSS, SQL","BE, MBA, B.Tech"
IBM,Robotics Intern,10000,Uttar Pradesh,"TensorFlow, Power BI, C++, SQL",BSc
Cognizant,UI/UX Design Intern,10000,Kerala,"Tableau, CAD, Kubernetes",MBA
Flipkart,Digital Marketing Intern,25000,West Bengal,"AWS, Python","BSc, MBA"
Amazon,Cloud Engineering Intern,5000,Tamil Nadu,"Azure, Keras","B.Tech, BSc, MBA"
Cognizant,Embedded Systems Intern,15000,Telangana,"Kubernetes, Python, ReactJS, MATLAB","BE, BSc"
Capgemini,Data Science Intern,10000,Rajasthan,"Python, Keras, Kubernetes, NodeJS","B.Tech, BSc"
Accenture,Business Analyst Intern,25000,Gujarat,"Tableau, SQL, Java, MATLAB, TensorFlow",BE
Cognizant,Data Science Intern,30000,Uttar Pradesh,"Python, NodeJS, Java","BSc, BE"
Wipro,Cybersecurity Intern,5000,Chandigarh,"Python, MATLAB, HTML/CSS, AWS, SolidWorks","BE, BSc, B.Tech"
Accenture,Cybersecurity Intern,20000,Assam,"AWS, Java, Excel, ReactJS",MSc
IBM,UI/UX Design Intern,30000,Chandigarh,"JavaScript, NodeJS, C++","BSc, MSc, B.Tech"
Google,Web Development Intern,5000,Gujarat,"Tableau, HTML/CSS","BE, BSc"
IBM,Digital Marketing Intern,15000,Gujarat,"ReactJS, AWS, Linux, PyTorch, JavaScript",MSc
TCS,Cybersecurity Intern,30000,Karnataka,"Java, Kubernetes, SQL, TensorFlow",B.Tech
TCS,Web Development Intern,20000,Andhra Pradesh,"Linux, Python, MATLAB, Keras, Power BI","MBA, BSc, BE"
Cognizant,Embedded Systems Intern,20000,Andhra Pradesh,"Excel, Azure",MBA
Tech Mahindra,UI/UX Design Intern,5000,Maharashtra,"CAD, ReactJS, Power BI","B.Tech, MSc"
Infosys,Web Development Intern,30000,Madhya Pradesh,"AWS, Excel, CAD, ReactJS",BE
Cognizant,Embedded Systems Intern,20000,Punjab,"PyTorch, C++, MATLAB, Keras",BSc
Microsoft,Web Development Intern,25000,Odisha,"Power BI, HTML/CSS, NodeJS, C++","BSc, BE, B.Tech"
Amazon,Mobile App Development Intern,25000,Kerala,"PyTorch, C++, HTML/CSS",MSc
Byjus,Mobile App Development Intern,15000,Maharashtra,"Docker, NodeJS, Linux, Azure","BE, B.Tech, MSc"
Google,Business Analyst Intern,20000,Rajasthan,"NodeJS, HTML/CSS, MATLAB",BSc
TCS,Cloud Engineering Intern,15000,Assam,"Java, Python",BSc
Infosys,Machine Learning Intern,20000,Maharashtra,"Azure, JavaScript",BSc
Tech Mahindra,Robotics Intern,25000,Karnataka,"JavaScript, Tableau","MSc, BE"
Cognizant,Web Development Intern,5000,Uttar Pradesh,"Power BI, SolidWorks","MSc, MBA"
Infosys,Embedded Systems Intern,15000,Bihar,"Tableau, Power BI, PyTorch, NodeJS","MBA, B.Tech"
IBM,Embedded Systems Intern,30000,Bihar,"Docker, Excel","BSc, B.Tech"
Cognizant,Embedded Systems Intern,10000,Andhra Pradesh,"Power BI, Java, SQL","BE, MSc, BSc"
HCL,UI/UX Design Intern,5000,West Bengal,"TensorFlow, Kubernetes, Java, MATLAB, Keras","MBA, B.Tech, BE"
